State,Year,RICE_YIELD_Kg_per_ha,WHEAT_YIELD_Kg_per_ha,KHARIF_SORGHUM_YIELD_Kg_per_ha,RABI_SORGHUM_YIELD_Kg_per_ha,SORGHUM_YIELD_Kg_per_ha,PEARL_MILLET_YIELD_Kg_per_ha,MAIZE_YIELD_Kg_per_ha,FINGER_MILLET_YIELD_Kg_per_ha,BARLEY_YIELD_Kg_per_ha,CHICKPEA_YIELD_Kg_per_ha,PIGEONPEA_YIELD_Kg_per_ha,MINOR_PULSES_YIELD_Kg_per_ha,GROUNDNUT_YIELD_Kg_per_ha,SESAMUM_YIELD_Kg_per_ha,RAPESEED_AND_MUSTARD_YIELD_Kg_per_ha,SAFFLOWER_YIELD_Kg_per_ha,CASTOR_YIELD_Kg_per_ha,LINSEED_YIELD_Kg_per_ha,SUNFLOWER_YIELD_Kg_per_ha,SOYABEAN_YIELD_Kg_per_ha,OILSEEDS_YIELD_Kg_per_ha,SUGARCANE_YIELD_Kg_per_ha,COTTON_YIELD_Kg_per_ha
Andhra Pradesh,1966,810.04,0.0,500.0,485.71,492.75,727.27,1000.0,826.09,0.0,0.0,500.0,154.91,1303.57,190.08,0.0,0.0,0.0,0.0,0.0,0.0,1013.32,6288.14,0.0
Andhra Pradesh,1966,598.68,0.0,509.8,481.01,492.31,770.49,500.0,750.0,0.0,200.0,333.33,145.53,878.05,515.25,0.0,0.0,166.67,0.0,0.0,0.0,663.82,7633.14,0.0
Andhra Pradesh,1966,1555.56,0.0,515.63,456.52,490.91,722.22,1000.0,875.0,0.0,300.0,400.0,176.17,785.71,315.07,0.0,0.0,0.0,0.0,0.0,0.0,313.38,6873.87,0.0
Andhra Pradesh,1966,1644.26,0.0,509.8,296.3,378.79,500.0,750.0,1000.0,0.0,500.0,500.0,138.31,888.89,305.44,0.0,0.0,166.67,0.0,0.0,0.0,402.83,9753.55,0.0
Andhra Pradesh,1966,1286.86,0.0,600.0,475.83,476.76,666.67,1000.0,1000.0,0.0,200.0,500.0,204.82,638.89,347.83,0.0,0.0,0.0,0.0,0.0,0.0,625.16,8702.7,80.0
Andhra Pradesh,1966,1462.96,0.0,660.38,870.76,778.17,516.13,1000.0,800.0,0.0,250.0,833.33,165.32,818.18,333.33,0.0,0.0,117.65,0.0,0.0,0.0,616.66,7750.0,71.43
Andhra Pradesh,1966,1289.68,0.0,234.01,342.52,294.99,660.38,500.0,935.48,0.0,333.33,500.0,132.95,846.15,342.11,0.0,0.0,76.14,0.0,0.0,0.0,486.49,8000.0,60.0
Andhra Pradesh,1966,1244.9,181.82,424.88,343.98,383.44,709.68,1000.0,875.0,0.0,333.33,625.0,155.56,609.44,400.0,0.0,145.6,116.88,0.0,0.0,0.0,586.77,8500.0,70.92
Andhra Pradesh,1966,1730.16,230.77,545.06,342.92,488.17,347.17,300.0,743.59,0.0,500.0,172.41,123.36,654.76,187.97,0.0,106.02,192.66,0.0,0.0,0.0,588.5,8500.0,47.62
Andhra Pradesh,1966,1532.47,0.0,746.85,465.75,725.16,510.64,1000.0,1368.42,0.0,300.0,400.0,155.68,872.55,347.83,0.0,170.15,111.11,0.0,0.0,0.0,839.32,6800.0,83.33
Andhra Pradesh,1966,1647.44,1000.0,810.06,466.67,783.51,625.0,1000.0,901.64,0.0,0.0,666.67,96.78,1027.03,333.33,0.0,0.0,200.0,0.0,0.0,0.0,994.37,8432.2,0.0
Andhra Pradesh,1967,696.75,0.0,480.0,500.0,483.87,923.08,1500.0,1095.24,0.0,0.0,500.0,198.24,865.67,277.11,0.0,0.0,0.0,0.0,0.0,0.0,741.48,5827.59,0.0
Andhra Pradesh,1967,414.01,0.0,491.23,546.88,520.66,806.45,1000.0,756.1,0.0,333.33,666.67,101.03,604.17,277.34,0.0,0.0,0.0,0.0,0.0,0.0,454.58,8104.97,0.0
Andhra Pradesh,1967,1556.21,0.0,485.29,547.62,509.09,473.68,1000.0,142.86,0.0,333.33,500.0,212.44,823.53,210.53,0.0,0.0,0.0,0.0,0.0,0.0,320.94,8973.91,0.0
Andhra Pradesh,1967,1761.27,0.0,481.48,551.02,514.56,500.0,1125.0,1000.0,0.0,500.0,666.67,110.28,1000.0,218.58,0.0,0.0,142.86,0.0,0.0,0.0,440.67,9830.43,0.0
Andhra Pradesh,1967,1617.5,0.0,484.85,632.25,625.68,666.67,1000.0,1000.0,0.0,200.0,600.0,206.73,771.43,250.0,0.0,0.0,0.0,0.0,0.0,0.0,733.41,8632.18,500.0
Andhra Pradesh,1967,1568.42,0.0,682.66,824.66,764.71,438.6,1500.0,1000.0,0.0,222.22,727.27,168.71,595.24,253.73,0.0,0.0,135.59,0.0,0.0,0.0,496.03,8363.64,100.0
Andhra Pradesh,1967,1086.96,0.0,259.78,479.02,386.3,978.72,2000.0,1264.71,0.0,500.0,600.0,112.5,800.0,259.74,0.0,0.0,114.75,0.0,0.0,0.0,470.37,10000.0,16.67
Andhra Pradesh,1967,1367.35,214.29,584.72,415.89,485.31,729.73,2000.0,714.29,0.0,333.33,578.95,132.26,642.31,277.78,0.0,94.15,140.85,0.0,0.0,0.0,617.29,9142.86,58.82
Andhra Pradesh,1967,1553.19,166.67,423.11,424.1,423.38,447.37,1000.0,972.22,0.0,333.33,454.55,64.68,635.56,326.92,0.0,94.33,195.4,0.0,0.0,0.0,597.02,7886.36,28.57
Andhra Pradesh,1967,1621.62,0.0,438.0,538.07,462.1,782.61,0.0,1421.05,0.0,400.0,500.0,177.84,945.58,266.67,0.0,224.76,125.0,0.0,0.0,0.0,913.67,5571.43,83.33
Andhra Pradesh,1967,1467.63,0.0,785.71,600.0,772.06,394.74,1000.0,901.96,0.0,0.0,666.67,77.03,1174.42,268.29,0.0,0.0,200.0,0.0,0.0,0.0,1134.43,7879.19,0.0
Andhra Pradesh,1968,563.38,0.0,358.97,500.0,439.56,671.64,500.0,945.95,0.0,0.0,625.0,188.45,958.51,178.08,0.0,0.0,0.0,0.0,0.0,0.0,820.32,7101.12,0.0
Andhra Pradesh,1968,718.32,0.0,487.18,441.72,456.43,419.16,952.38,554.27,0.0,500.0,666.67,89.06,699.43,232.65,0.0,0.0,0.0,0.0,0.0,0.0,509.18,7015.31,0.0
Andhra Pradesh,1968,1519.88,0.0,436.46,548.39,474.45,287.36,555.56,337.08,0.0,344.83,612.24,127.89,964.71,181.82,0.0,0.0,0.0,0.0,0.0,0.0,238.89,8195.53,0.0
Andhra Pradesh,1968,1870.53,0.0,478.26,454.55,465.12,769.23,1428.57,555.56,0.0,500.0,454.55,114.31,1025.64,235.29,0.0,0.0,142.86,0.0,0.0,0.0,436.35,9682.76,0.0
Andhra Pradesh,1968,1202.81,0.0,400.0,715.23,713.5,476.19,1250.0,0.0,0.0,222.22,540.54,162.13,674.16,272.73,0.0,0.0,0.0,0.0,0.0,0.0,647.1,8906.25,100.0
Andhra Pradesh,1968,1302.95,333.33,683.45,623.08,644.95,706.32,1000.0,681.82,0.0,222.22,721.65,181.83,960.7,218.75,0.0,0.0,122.45,0.0,0.0,0.0,837.49,7916.67,75.76
Andhra Pradesh,1968,987.04,0.0,259.19,397.12,350.36,557.62,1000.0,580.11,0.0,500.0,487.8,160.13,1028.04,208.33,0.0,0.0,78.57,0.0,0.0,0.0,463.07,7000.0,21.28
Andhra Pradesh,1968,1142.28,266.67,324.64,415.75,371.52,460.36,0.0,750.0,0.0,307.69,555.56,127.23,586.52,272.73,0.0,158.45,163.64,0.0,0.0,0.0,561.03,7818.18,56.9
Andhra Pradesh,1968,1310.78,181.82,348.34,424.0,365.63,469.7,1428.57,1145.37,0.0,384.62,420.56,64.32,739.66,265.31,0.0,82.19,166.67,0.0,0.0,0.0,686.4,7655.74,31.75
Andhra Pradesh,1968,1476.27,333.33,616.35,537.23,593.98,476.19,0.0,775.86,0.0,444.44,487.8,142.45,822.51,222.22,0.0,307.69,111.11,0.0,0.0,0.0,794.18,7659.09,133.33
Andhra Pradesh,1968,1247.62,500.0,542.37,592.59,551.72,647.67,0.0,693.88,0.0,0.0,416.67,96.09,980.39,227.27,0.0,0.0,200.0,0.0,0.0,0.0,954.99,6677.88,0.0
Andhra Pradesh,1969,862.56,0.0,466.67,390.24,422.54,976.38,1250.0,951.28,0.0,0.0,250.0,151.67,1123.87,287.36,0.0,0.0,0.0,0.0,0.0,0.0,925.28,6287.04,0.0
Andhra Pradesh,1969,990.89,0.0,455.28,407.41,432.9,663.97,1275.86,475.31,0.0,500.0,285.71,103.76,663.62,421.88,0.0,0.0,0.0,0.0,0.0,0.0,543.19,7575.47,0.0
Andhra Pradesh,1969,1165.18,0.0,450.0,409.09,432.69,647.62,1266.67,901.41,0.0,300.0,270.83,127.42,820.51,322.58,0.0,0.0,0.0,0.0,0.0,0.0,257.4,6555.0,0.0
Andhra Pradesh,1969,1518.51,0.0,461.54,414.29,437.04,647.06,1333.33,850.0,0.0,333.33,275.86,154.93,785.71,296.12,0.0,0.0,125.0,0.0,0.0,0.0,356.06,7767.05,0.0
Andhra Pradesh,1969,1126.38,0.0,1000.0,518.97,519.62,629.63,1200.0,1000.0,0.0,300.0,279.07,129.95,689.86,333.33,0.0,0.0,0.0,0.0,0.0,0.0,663.4,7313.04,176.47
Andhra Pradesh,1969,1285.06,500.0,534.03,416.26,477.07,294.85,1105.26,972.22,0.0,277.78,356.52,152.25,981.1,322.03,0.0,0.0,192.77,0.0,0.0,0.0,752.62,7114.29,123.97
Andhra Pradesh,1969,1207.41,0.0,384.41,366.44,371.79,918.32,0.0,1164.47,0.0,0.0,263.16,153.59,824.39,297.3,0.0,0.0,166.67,0.0,0.0,0.0,608.67,6750.0,51.72
Andhra Pradesh,1969,1191.09,235.29,459.44,404.32,430.08,717.34,1500.0,978.72,0.0,289.86,463.41,85.55,660.75,55.56,0.0,134.75,164.38,0.0,0.0,0.0,669.77,6714.29,36.64
Andhra Pradesh,1969,1560.75,181.82,368.32,265.06,343.48,295.67,1333.33,1086.51,0.0,222.22,120.19,92.93,560.12,59.52,0.0,122.81,183.33,0.0,0.0,0.0,530.41,7423.73,47.62
Andhra Pradesh,1969,1335.04,500.0,466.18,406.25,458.16,571.43,0.0,1140.54,0.0,416.67,261.9,125.93,758.52,321.43,0.0,220.78,222.22,0.0,0.0,0.0,744.06,7764.71,87.72
Andhra Pradesh,1969,1713.43,500.0,794.33,411.76,753.16,552.88,1000.0,841.39,0.0,0.0,280.0,111.4,1122.07,333.33,0.0,0.0,200.0,0.0,0.0,0.0,1095.75,6282.49,0.0
Andhra Pradesh,1970,1059.77,0.0,333.33,354.84,344.83,672.27,1333.33,756.54,0.0,1000.0,375.0,382.78,1227.27,352.94,0.0,0.0,0.0,0.0,0.0,0.0,1035.22,6556.96,0.0
Andhra Pradesh,1970,1174.62,1000.0,352.94,362.64,357.51,672.1,1250.0,547.95,0.0,500.0,342.86,325.06,868.02,378.26,0.0,0.0,0.0,0.0,0.0,0.0,672.72,8877.66,0.0
Andhra Pradesh,1970,1210.76,0.0,357.14,368.42,362.5,505.21,1250.0,916.67,0.0,200.0,355.93,420.24,831.46,282.61,0.0,0.0,0.0,0.0,0.0,0.0,253.83,6483.66,0.0
Andhra Pradesh,1970,1714.62,0.0,352.94,382.35,364.71,642.86,1285.71,882.35,0.0,500.0,370.37,290.18,901.64,266.09,0.0,0.0,166.67,0.0,0.0,0.0,341.93,9415.84,0.0
Andhra Pradesh,1970,1616.35,0.0,250.0,280.76,280.56,650.0,1250.0,1000.0,0.0,500.0,355.56,321.13,853.04,264.71,0.0,0.0,0.0,0.0,0.0,0.0,786.77,9057.69,222.22
Andhra Pradesh,1970,1520.68,1000.0,451.57,430.66,441.89,422.18,1294.12,884.62,0.0,470.59,360.0,671.14,887.78,336.13,0.0,0.0,115.79,0.0,0.0,0.0,746.3,8066.67,120.0
Andhra Pradesh,1970,940.36,0.0,219.58,221.34,220.8,978.26,1000.0,995.78,0.0,0.0,315.79,185.42,802.42,317.46,0.0,0.0,85.53,0.0,0.0,0.0,549.89,6000.0,0.0
Andhra Pradesh,1970,1364.72,636.36,346.15,377.81,365.63,714.29,1000.0,864.86,0.0,408.16,326.73,433.75,497.16,54.05,0.0,517.93,95.89,0.0,0.0,0.0,514.28,8500.0,51.31
Andhra Pradesh,1970,1568.44,909.09,302.87,428.15,331.54,492.2,1500.0,1438.78,0.0,411.76,290.75,179.93,529.58,241.38,0.0,378.05,216.22,0.0,0.0,0.0,511.33,6159.09,41.94
Andhra Pradesh,1970,1239.57,1500.0,367.06,357.72,365.77,726.42,1000.0,920.29,0.0,500.0,365.85,352.05,642.25,368.42,0.0,551.02,111.11,0.0,0.0,0.0,631.95,7875.0,79.65
Andhra Pradesh,1970,1568.74,1000.0,704.23,400.0,693.88,745.81,1500.0,1008.55,0.0,0.0,357.14,231.0,1250.0,275.86,0.0,0.0,200.0,0.0,0.0,0.0,1220.11,6750.0,0.0
Andhra Pradesh,1971,1433.71,0.0,481.48,483.87,482.76,781.51,1000.0,1087.56,0.0,0.0,187.5,382.54,1191.39,162.5,0.0,0.0,0.0,0.0,0.0,0.0,988.61,9241.38,0.0
Andhra Pradesh,1971,1401.3,0.0,480.52,489.8,485.71,780.41,1000.0,653.76,0.0,333.33,200.0,303.94,1059.6,182.84,0.0,0.0,0.0,0.0,0.0,0.0,726.1,11270.41,0.0
Andhra Pradesh,1971,1608.04,0.0,481.48,500.0,489.13,347.83,1000.0,1100.0,0.0,166.67,207.55,259.27,898.15,175.97,0.0,0.0,0.0,0.0,0.0,0.0,241.68,9210.53,111.11
Andhra Pradesh,1971,1919.55,0.0,485.71,491.53,489.36,600.0,1285.71,1055.56,0.0,1000.0,217.39,405.17,1173.91,204.65,0.0,0.0,200.0,0.0,0.0,0.0,370.59,10603.09,83.33
Andhra Pradesh,1971,1641.87,0.0,0.0,540.43,540.43,631.58,1083.33,1000.0,0.0,428.57,195.12,385.38,831.13,166.67,0.0,0.0,0.0,0.0,0.0,0.0,742.62,10402.3,318.84
Andhra Pradesh,1971,1673.1,0.0,303.67,573.9,442.77,322.51,1083.33,1000.0,0.0,500.0,337.35,553.08,916.67,168.0,333.33,0.0,123.08,0.0,0.0,0.0,612.92,10037.04,260.5
Andhra Pradesh,1971,1357.67,0.0,322.98,295.81,300.2,635.74,1000.0,1117.14,0.0,0.0,153.85,239.21,931.19,136.36,0.0,0.0,111.11,0.0,0.0,0.0,499.23,9000.0,157.89
Andhra Pradesh,1971,1435.8,545.45,430.71,497.14,471.53,529.22,1500.0,980.0,0.0,476.19,223.53,248.41,590.86,22.47,0.0,232.46,109.09,0.0,0.0,0.0,607.02,10000.0,51.78
Andhra Pradesh,1971,1844.96,636.36,448.42,232.2,394.78,635.89,1272.73,1442.18,0.0,272.73,142.86,121.35,761.42,115.38,0.0,221.41,111.11,0.0,0.0,0.0,720.34,8627.91,51.78
Andhra Pradesh,1971,1858.53,666.67,659.57,537.31,651.04,994.59,0.0,1210.53,0.0,428.57,206.9,426.85,580.42,208.33,0.0,365.59,125.0,0.0,0.0,0.0,568.64,9000.0,48.0
Andhra Pradesh,1971,1841.73,1000.0,827.27,400.0,808.7,822.3,1000.0,1124.47,0.0,0.0,206.9,242.44,1073.42,148.15,0.0,0.0,200.0,0.0,0.0,0.0,1050.23,8822.09,0.0
Andhra Pradesh,1972,1118.51,0.0,350.0,441.18,407.41,803.74,1000.0,1020.96,0.0,0.0,214.29,286.32,902.74,119.4,0.0,0.0,0.0,0.0,0.0,0.0,754.48,7559.32,0.0
Andhra Pradesh,1972,1022.84,0.0,361.11,435.48,408.16,600.0,904.76,1020.96,0.0,0.0,217.39,346.24,974.75,90.36,0.0,0.0,0.0,0.0,0.0,0.0,708.49,8945.81,0.0
Andhra Pradesh,1972,1596.7,0.0,361.7,409.09,376.81,477.61,1266.67,1027.78,0.0,125.0,244.9,322.22,846.85,277.03,0.0,0.0,0.0,0.0,0.0,0.0,271.96,7962.37,83.33
Andhra Pradesh,1972,1967.5,0.0,380.0,425.93,403.85,571.43,1200.0,1000.0,0.0,0.0,235.29,357.0,1067.8,255.81,0.0,0.0,250.0,0.0,0.0,0.0,399.84,9970.34,0.0
Andhra Pradesh,1972,1581.9,0.0,363.64,450.45,449.24,588.24,1062.5,1000.0,0.0,285.71,228.57,279.13,585.11,95.24,0.0,0.0,0.0,0.0,0.0,0.0,511.35,8941.18,327.59
Andhra Pradesh,1972,1716.17,1000.0,260.22,480.06,390.54,296.1,916.67,967.74,0.0,375.0,323.08,646.5,913.17,78.82,0.0,0.0,144.74,0.0,0.0,0.0,467.54,8709.68,167.29
Andhra Pradesh,1972,1098.52,0.0,311.38,256.87,265.94,678.68,1000.0,1096.57,0.0,0.0,142.86,267.97,1108.11,103.45,0.0,0.0,118.81,0.0,0.0,0.0,517.78,8000.0,90.91
Andhra Pradesh,1972,1296.15,428.57,302.81,645.04,480.57,468.84,1500.0,980.77,0.0,219.51,279.76,288.32,552.04,31.25,0.0,239.13,125.0,0.0,0.0,0.0,572.88,9000.0,44.46
Andhra Pradesh,1972,1769.41,666.67,359.84,319.73,352.18,513.78,1000.0,1482.2,0.0,148.15,183.57,186.51,671.56,68.49,0.0,250.0,175.0,0.0,0.0,0.0,619.22,8568.63,42.11
Andhra Pradesh,1972,1467.08,666.67,476.97,418.6,474.98,550.93,0.0,1184.05,0.0,166.67,230.77,328.3,660.33,314.29,0.0,529.41,142.86,0.0,0.0,0.0,637.78,8727.27,61.54
Andhra Pradesh,1972,2123.86,1000.0,761.9,333.33,747.13,836.0,1500.0,918.52,0.0,0.0,250.0,256.92,1301.21,142.86,0.0,0.0,250.0,0.0,0.0,0.0,1270.15,7644.97,0.0
Andhra Pradesh,1973,1202.35,0.0,375.0,571.43,477.61,1076.19,1500.0,1005.67,0.0,0.0,181.82,258.82,1288.38,161.29,0.0,0.0,0.0,0.0,0.0,0.0,1088.6,8041.1,0.0
Andhra Pradesh,1973,931.27,0.0,400.0,575.76,546.22,822.05,1473.68,929.71,0.0,0.0,148.15,400.12,1106.12,254.9,0.0,0.0,0.0,0.0,0.0,0.0,794.62,7095.65,0.0
Andhra Pradesh,1973,1699.68,0.0,379.31,576.27,478.63,798.66,1500.0,975.9,0.0,500.0,160.0,394.55,1064.81,256.83,0.0,0.0,500.0,0.0,0.0,0.0,309.12,7265.31,181.82
Andhra Pradesh,1973,2047.39,0.0,372.55,571.43,487.6,900.0,1666.67,1176.47,0.0,0.0,173.91,419.76,1151.16,244.68,0.0,0.0,166.67,0.0,0.0,0.0,440.29,10153.28,333.33
Andhra Pradesh,1973,1706.32,0.0,333.33,603.67,601.4,833.33,1450.0,1166.67,0.0,333.33,175.0,325.95,888.89,222.22,0.0,0.0,200.0,0.0,0.0,0.0,772.68,9312.0,285.71
Andhra Pradesh,1973,1931.7,0.0,324.76,571.43,455.98,589.29,1466.67,1027.78,0.0,468.75,322.92,528.55,1021.23,242.57,1000.0,0.0,171.6,0.0,0.0,0.0,604.95,7939.39,437.42
Andhra Pradesh,1973,1227.4,0.0,311.28,394.58,375.23,864.73,1000.0,1144.65,0.0,333.33,470.59,313.41,1339.21,254.24,0.0,0.0,120.0,0.0,0.0,0.0,703.51,11000.0,216.22
Andhra Pradesh,1973,1713.87,642.86,379.17,574.32,516.57,1002.61,2000.0,982.14,0.0,435.9,152.28,351.73,778.1,40.54,0.0,255.32,162.16,0.0,0.0,0.0,793.05,2400.0,45.07
Andhra Pradesh,1973,1609.54,555.56,334.24,464.52,372.92,513.26,1500.0,1480.52,0.0,272.73,89.43,214.75,852.36,239.67,0.0,264.71,197.8,0.0,0.0,0.0,797.75,7771.93,48.69
Andhra Pradesh,1973,1844.01,1000.0,440.55,570.82,469.96,892.59,1000.0,1838.24,0.0,333.33,259.26,292.97,1014.42,300.0,0.0,500.0,125.0,0.0,0.0,0.0,1088.57,9000.0,52.17
Andhra Pradesh,1973,1818.39,0.0,731.09,500.0,723.58,1248.23,1500.0,1226.7,0.0,0.0,166.67,327.32,1260.15,208.33,0.0,0.0,250.0,0.0,0.0,0.0,1233.67,8858.45,0.0
Andhra Pradesh,1974,711.95,0.0,451.61,740.74,635.29,980.58,1500.0,1151.93,0.0,0.0,166.67,209.05,1075.28,138.89,0.0,0.0,0.0,0.0,0.0,0.0,889.89,8736.84,0.0
Andhra Pradesh,1974,900.91,0.0,448.28,754.39,651.16,704.71,1529.41,1120.1,0.0,0.0,192.31,437.78,1003.17,239.22,0.0,0.0,0.0,0.0,0.0,0.0,728.23,5842.52,0.0
Andhra Pradesh,1974,1904.95,0.0,442.86,760.0,606.9,876.71,1722.22,1250.0,0.0,333.33,186.44,388.35,1027.21,321.78,0.0,0.0,0.0,0.0,0.0,0.0,364.93,6813.28,250.0
Andhra Pradesh,1974,2185.82,0.0,450.98,755.56,593.75,666.67,1740.74,1136.36,0.0,500.0,193.55,383.32,1180.0,339.18,0.0,0.0,222.22,0.0,0.0,0.0,510.47,9719.59,200.0
Andhra Pradesh,1974,1729.26,0.0,333.33,718.58,717.01,666.67,1689.66,1111.11,0.0,363.64,190.48,373.53,931.76,233.33,0.0,0.0,166.67,0.0,0.0,0.0,800.0,6472.22,476.19
Andhra Pradesh,1974,1745.76,0.0,458.33,859.58,638.3,608.86,1666.67,1044.44,0.0,444.44,160.0,628.52,931.17,386.36,0.0,0.0,188.74,0.0,0.0,0.0,598.1,4566.04,480.89
Andhra Pradesh,1974,1342.08,0.0,457.94,603.29,563.51,937.06,2000.0,1107.14,0.0,500.0,138.89,401.31,1173.65,269.23,0.0,0.0,138.61,0.0,0.0,0.0,855.05,5000.0,457.63
Andhra Pradesh,1974,1550.0,333.33,404.04,665.96,588.67,440.99,222.22,1070.18,0.0,460.0,265.31,314.27,848.3,250.0,0.0,245.28,213.11,0.0,0.0,0.0,809.18,2400.0,99.54
Andhra Pradesh,1974,1791.67,628.57,361.23,1036.04,611.07,457.98,1900.0,1307.47,0.0,240.0,157.64,254.0,837.83,48.08,0.0,172.41,181.82,0.0,0.0,0.0,785.7,3580.65,144.23
Andhra Pradesh,1974,1834.65,1200.0,524.57,745.1,547.59,540.74,0.0,1526.07,0.0,714.29,184.21,283.33,989.77,206.9,0.0,461.54,125.0,0.0,0.0,0.0,1172.89,8000.0,150.68
Andhra Pradesh,1974,1672.02,1000.0,941.18,800.0,928.57,806.58,2000.0,1079.91,0.0,0.0,181.82,263.89,1160.98,238.1,0.0,0.0,250.0,0.0,0.0,0.0,1142.11,8539.6,0.0
Andhra Pradesh,1975,1301.26,1000.0,300.0,580.0,500.0,742.65,1000.0,1170.02,0.0,0.0,222.22,218.57,545.74,148.94,0.0,0.0,0.0,0.0,0.0,0.0,448.15,6806.12,0.0
Andhra Pradesh,1975,1259.93,0.0,315.79,570.0,446.15,846.64,1567.57,1132.74,0.0,0.0,205.88,393.95,909.25,307.02,0.0,0.0,0.0,0.0,0.0,0.0,646.78,5692.98,0.0
Andhra Pradesh,1975,1834.8,0.0,314.81,575.0,425.53,747.42,1625.0,1308.82,0.0,428.57,396.55,412.94,870.13,164.18,0.0,0.0,0.0,0.0,0.0,0.0,196.77,7746.19,222.22
Andhra Pradesh,1975,2085.26,0.0,325.0,588.24,445.95,750.0,1750.0,1294.12,0.0,500.0,206.9,395.69,1061.22,321.74,0.0,0.0,0.0,0.0,0.0,0.0,409.2,7394.31,0.0
Andhra Pradesh,1975,1552.28,0.0,0.0,466.36,466.36,731.48,1680.0,1250.0,0.0,47.62,195.12,391.68,1073.83,204.55,0.0,0.0,0.0,0.0,0.0,0.0,943.23,7642.86,266.67
Andhra Pradesh,1975,1504.19,2000.0,355.04,890.38,574.18,626.49,1600.0,1176.87,0.0,487.5,322.58,582.51,936.39,238.71,500.0,0.0,137.1,0.0,0.0,0.0,626.3,7619.05,369.23
Andhra Pradesh,1975,1597.61,0.0,366.76,530.34,478.77,1000.0,2000.0,1303.28,0.0,2000.0,230.77,367.47,942.37,200.0,0.0,0.0,145.16,0.0,0.0,0.0,754.77,8500.0,435.48
Andhra Pradesh,1975,1527.47,652.17,268.61,397.84,353.29,464.29,2000.0,1178.57,0.0,479.59,177.22,291.72,615.07,125.0,0.0,478.26,138.89,0.0,0.0,0.0,600.84,6750.0,76.7
Andhra Pradesh,1975,1443.35,647.06,426.49,1075.68,627.83,476.71,1333.33,1560.69,0.0,444.44,80.36,243.91,723.8,40.82,0.0,222.22,76.92,0.0,0.0,0.0,699.86,8166.67,59.32
Andhra Pradesh,1975,1780.34,800.0,170.29,581.4,208.97,1000.0,2000.0,1681.53,0.0,473.68,200.0,250.0,541.03,468.75,0.0,571.43,200.0,0.0,0.0,0.0,541.81,7083.33,40.82
Andhra Pradesh,1975,1868.44,1000.0,750.0,555.56,736.43,973.98,1500.0,1235.53,0.0,0.0,195.12,279.41,1317.39,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.45,8058.44,0.0
Andhra Pradesh,1976,810.8,0.0,450.0,659.57,597.01,784.72,1000.0,1127.93,0.0,250.0,181.82,357.02,586.96,168.22,0.0,0.0,0.0,0.0,0.0,0.0,440.13,7526.32,0.0
Andhra Pradesh,1976,471.73,0.0,448.28,647.62,557.29,745.48,880.0,889.19,0.0,0.0,162.16,356.6,922.91,295.65,0.0,0.0,250.0,0.0,0.0,0.0,601.36,5116.59,0.0
Andhra Pradesh,1976,1406.23,0.0,456.14,638.89,526.88,534.48,941.18,1222.22,0.0,500.0,222.22,352.64,818.18,280.9,0.0,0.0,0.0,0.0,0.0,0.0,203.6,8701.03,142.86
Andhra Pradesh,1976,1553.18,0.0,476.19,648.65,556.96,600.0,1142.86,1000.0,0.0,500.0,181.82,271.29,1568.18,312.1,0.0,0.0,333.33,0.0,0.0,0.0,464.12,7550.42,0.0
Andhra Pradesh,1976,1480.22,0.0,333.33,753.75,750.0,615.38,1062.5,1125.0,0.0,411.76,157.89,418.38,903.23,153.85,0.0,0.0,250.0,0.0,0.0,0.0,825.52,7286.59,100.0
Andhra Pradesh,1976,1335.76,3000.0,407.53,502.35,447.52,591.17,1052.63,1356.06,0.0,342.86,312.5,396.09,761.19,176.47,500.0,0.0,362.83,0.0,0.0,0.0,513.89,6903.85,276.48
Andhra Pradesh,1976,1222.36,0.0,346.15,411.11,388.43,839.24,2000.0,1336.59,0.0,500.0,350.0,302.07,822.12,285.71,0.0,0.0,160.0,0.0,0.0,0.0,611.4,6600.0,344.37
Andhra Pradesh,1976,1002.08,823.53,442.69,756.9,633.22,342.42,1000.0,1333.33,0.0,419.35,129.5,250.98,413.14,166.67,0.0,400.0,177.78,0.0,0.0,0.0,403.84,5666.67,81.41
Andhra Pradesh,1976,1227.91,1000.0,389.44,436.78,400.0,272.37,1333.33,1251.4,0.0,384.62,31.65,73.94,276.78,40.0,0.0,333.33,33.9,0.0,0.0,0.0,317.81,7188.68,71.43
Andhra Pradesh,1976,1437.8,1000.0,533.95,652.54,546.79,657.72,2000.0,1695.36,0.0,380.95,157.89,233.99,268.51,375.0,0.0,384.62,166.67,0.0,0.0,0.0,275.76,6944.44,90.0
Andhra Pradesh,1976,1762.73,1000.0,788.73,750.0,787.67,676.98,2000.0,910.89,0.0,0.0,159.09,201.36,720.06,230.77,0.0,0.0,250.0,0.0,0.0,0.0,710.41,7165.61,0.0
Andhra Pradesh,1977,860.18,0.0,631.58,690.48,672.13,1112.0,1400.0,1145.16,0.0,500.0,157.89,412.8,803.28,169.35,0.0,0.0,0.0,0.0,0.0,0.0,584.08,7586.21,0.0
Andhra Pradesh,1977,933.07,0.0,649.48,682.93,664.8,888.89,1517.24,968.6,0.0,0.0,146.34,267.97,1070.42,237.9,0.0,0.0,250.0,0.0,0.0,0.0,658.51,5853.66,0.0
