State,Year,Crop,Yield,Rainfall_x,Pesticides,Fertilizer_Total,Rainfall_y,Pesticides_total_country
Andhra Pradesh,1999,Groundnut,1.1506818179999998,650.4,242340.795,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Horse-gram,0.383452381,650.4,13635.54,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Jowar,0.6074545455,650.4,99350.415,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Linseed,0.1175,650.4,1583.2799999999997,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Maize,3.6519264070000004,650.4,61021.08,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Masoor,0.360576923,650.4,58341.465,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Moong(Green Gram),0.48104066999999995,650.4,61923.01499999999,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Niger seed,0.3725,650.4,5022.54,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Onion,16.27210526,650.4,9429.75,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Ragi,1.4143333335,650.4,13061.52,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Rapeseed &Mustard,0.214,650.4,794.34,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Rice,2.5654347824999997,650.4,541923.48,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Safflower,0.39,650.4,4561.92,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Sesamum,0.2143660285,650.4,23103.63,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Sugarcane,76.31571429,650.4,62752.32,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Sunflower,0.653076923,650.4,20059.38,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Tobacco,1.253125,650.4,34783.02,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Urad,0.5579473684999999,650.4,62214.885,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,1999,Wheat,0.658181818,650.4,3649.05,110953.27272727272,681.1500000000001,137682.0
Andhra Pradesh,2000,Arecanut,2.78,935.6,68.12,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Arhar/Tur,0.428465909,935.6,66750.32,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Bajra,0.9423958335000001,935.6,18681.52,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Banana,17.63090909,935.6,12753.260000000002,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Cashewnut,0.190625,935.6,37781.9,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Castor seed,0.339047619,935.6,103625.86,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Coconut ,9101.813684,935.6,26687.96,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Coriander,0.3950000000000001,935.6,15194.660000000002,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Cotton(lint),1.687727273,935.6,265647.46,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Dry chillies,2.085,935.6,30940.390000000003,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Ginger,3.14875,935.6,605.54,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Gram,1.286,935.6,26112.19,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Groundnut,1.2861363635,935.6,243596.21,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Horse-gram,0.3547727275,935.6,10219.69,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Jowar,0.835909091,935.6,88000.64,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Linseed,0.2075,935.6,1426.36,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Maize,3.7920454550000002,935.6,68596.71,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Mesta,8.745384615,935.6,20233.98,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Moong(Green Gram),0.387834928,935.6,67649.66,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Niger seed,0.36,935.6,4797.52,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Onion,17.640828945000003,935.6,3939.78,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Other  Rabi pulses,0.324705882,935.6,3692.0,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Other Kharif pulses,0.275263158,935.6,5161.0,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Potato,6.14375,935.6,647.14,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Ragi,1.405642857,935.6,12902.759999999998,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Rapeseed &Mustard,0.151538462,935.6,1165.32,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Rice,2.8195454545,935.6,551554.38,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Safflower,0.34,935.6,4211.48,118293.45454545454,931.8,89916.0
Andhra Pradesh,2000,Sesamum,0.19835858550000002,935.6,23764.39,118293.45454545454,931.8,89916.0
