State,Year,Crop,Yield,Rainfall,Fertilizer_N,Pesticides
Andhra Pradesh,1997,Arhar/Tur,0.197727273,0.10016956201810795,0.006178137626177206,0.006178143080947207
Andhra Pradesh,1997,Arhar/Tur,0.474,0.10016956201810795,6.8875451891157e-05,6.88809401929426e-05
Andhra Pradesh,1997,Bajra,0.815882353,0.10016956201810795,0.00175955077654055,0.00175955625556276
Andhra Pradesh,1997,Castor seed,0.241666667,0.10016956201810795,0.0033380392635822416,0.003338044733940634
Andhra Pradesh,1997,Cotton(lint),1.643333333,0.10016956201810795,0.017837695976844266,0.017837701367618683
Andhra Pradesh,1997,Dry chillies,1.939,0.10016956201810795,0.002324421344845993,0.0023244268207678097
Andhra Pradesh,1997,Dry chillies,1.770909091,0.10016956201810795,0.0010746206100935318,0.001074626092875104
Andhra Pradesh,1997,Gram,0.338,0.10016956201810795,0.0028853555328844996,0.0028853610057275277
Andhra Pradesh,1997,Groundnut,0.71047619,0.10016956201810795,0.029798387417931997,0.029798392743058007
Andhra Pradesh,1997,Groundnut,1.359545455,0.10016956201810795,0.006296229034185313,0.006296234488307148
Andhra Pradesh,1997,Horse-gram,0.4025,0.10016956201810795,0.0003857540633795764,0.00038575954994211675
Andhra Pradesh,1997,Horse-gram,0.3655,0.10016956201810795,0.001781200868008703,0.0017812063469120824
Andhra Pradesh,1997,Jowar,0.668095238,0.10016956201810795,0.006087600880037658,0.006087606335304586
Andhra Pradesh,1997,Jowar,0.856190476,0.10016956201810795,0.009437460487200948,0.00943746592408157
Andhra Pradesh,1997,Maize,2.201818182,0.10016956201810795,0.006004936894431983,0.0060049423501526275
Andhra Pradesh,1997,Maize,3.21,0.10016956201810795,0.0017871054384091083,0.0017871109172800795
Andhra Pradesh,1997,Mesta,5.98,0.10016956201810795,0.001688695931735686,0.0016887014111467956
Andhra Pradesh,1997,Moong(Green Gram),0.34,0.10016956201810795,0.006235215140047791,0.006235220594504512
Andhra Pradesh,1997,Moong(Green Gram),0.363333333,0.10016956201810795,0.0026964092800715288,0.0026964147539516228
Andhra Pradesh,1997,Other  Rabi pulses,0.166666667,0.10016956201810795,6.690726175768856e-05,6.691275007027693e-05
Andhra Pradesh,1997,Other Kharif pulses,0.218571429,0.10016956201810795,0.00014366667696295786,0.00014367216485423838
Andhra Pradesh,1997,Ragi,0.918333333,0.10016956201810795,0.0016375229882655065,0.001637528467957488
Andhra Pradesh,1997,Ragi,1.513636364,0.10016956201810795,0.00028734455670615424,0.0002873500438088329
Andhra Pradesh,1997,Rice,1.99173913,0.10016956201810795,0.04689211872710543,0.04689212395840942
Andhra Pradesh,1997,Rice,2.64,0.10016956201810795,0.021998449918996556,0.021998455286933928
Andhra Pradesh,1997,Sesamum,0.181333333,0.10016956201810795,0.001084461560760874,0.0010844670434884325
Andhra Pradesh,1997,Sesamum,0.109375,0.10016956201810795,0.0016375229882655065,0.001637528467957488
Andhra Pradesh,1997,Small millets,0.17,0.10016956201810795,0.00022633066256863248,0.00022633615000619683
Andhra Pradesh,1997,Small millets,0.075,0.10016956201810795,5.903450122381478e-05,5.903998957961421e-05
Andhra Pradesh,1997,Sugarcane,77.1065,0.10016956201810795,0.003788754804146515,0.0037887602720310743
Andhra Pradesh,1997,Sunflower,0.495263158,0.10016956201810795,0.005282611115449064,0.005282616575134323
Andhra Pradesh,1997,Sunflower,0.402307692,0.10016956201810795,0.002275216591509282,0.0022752220677011675
Andhra Pradesh,1997,Tobacco,1.116666667,0.10016956201810795,0.0039737646766925495,0.0039737701435616475
Andhra Pradesh,1997,Urad,0.2525,0.10016956201810795,0.0017398688752058656,0.0017398743543361032
Andhra Pradesh,1997,Urad,0.388125,0.10016956201810795,0.008128614048444434,0.008128619492508895
Andhra Pradesh,1997,Wheat,0.55375,0.10016956201810795,0.00021648971190129027,0.00021649519939286846
Andhra Pradesh,1998,Arhar/Tur,0.461818182,0.11949323351569247,0.007985054255973088,0.007195443414349535
Andhra Pradesh,1998,Arhar/Tur,0.56,0.11949323351569247,6.332989988643321e-05,5.7071799456948534e-05
Andhra Pradesh,1998,Bajra,0.988235294,0.11949323351569247,0.002451902448832861,0.00220944642360176
Andhra Pradesh,1998,Bajra,0.905714286,0.11949323351569247,0.00014914687769289168,0.00013440262427652258
Andhra Pradesh,1998,Castor seed,0.266,0.11949323351569247,0.004162112220832998,0.0037505392896489856
Andhra Pradesh,1998,Cotton(lint),1.093809524,0.11949323351569247,0.026172123766813254,0.02358405464575498
Andhra Pradesh,1998,Dry chillies,2.289,0.11949323351569247,0.00329781265863938,0.00297170741110899
Andhra Pradesh,1998,Dry chillies,2.053181818,0.11949323351569247,0.0012504647595424421,0.001126814876127723
Andhra Pradesh,1998,Gram,1.0,0.11949323351569247,2.0320585961057306e-06,1.835496014395637e-06
Andhra Pradesh,1998,Gram,0.95375,0.11949323351569247,0.002979063883929677,0.0026844786332077147
Andhra Pradesh,1998,Groundnut,0.901818182,0.11949323351569247,0.03339913925494286,0.030096414821631966
Andhra Pradesh,1998,Groundnut,1.564090909,0.11949323351569247,0.007300561694897765,0.006578638025907694
Andhra Pradesh,1998,Horse-gram,0.44,0.11949323351569247,0.00039025172010151313,0.00035166541781723066
Andhra Pradesh,1998,Horse-gram,0.360952381,0.11949323351569247,0.001879789263456471,0.0016939075914712662
Andhra Pradesh,1998,Jowar,0.575,0.11949323351569247,0.0072985184335214205,0.006576796815792942
Andhra Pradesh,1998,Jowar,0.802,0.11949323351569247,0.008074957756532235,0.007276456659398613
