State,Year,Fertilizer_N,Fertilizer_P,Fertilizer_K,Fertilizer_Total
Andhra Pradesh,1966,0.016270876475808837,0.016182498663339866,0.003972036860502065,0.015537030324996978
Andhra Pradesh,1966,0.011483742570529542,0.015505257529852075,0.003972036860502065,0.010232077937768404
Andhra Pradesh,1966,0.040529274130651105,0.049688112635893775,0.003972036860502065,0.037299416784737555
Andhra Pradesh,1966,0.0,0.0,0.0,0.0
Andhra Pradesh,1966,0.02842696931393379,0.03981464979504544,0.003972036860502065,0.03293903148923084
Andhra Pradesh,1966,0.02033187209208509,0.026341115665656743,0.003972036860502065,0.041404988632244885
Andhra Pradesh,1966,0.00870021246268456,0.008946711816075564,0.003972036860502065,0.009970674486803518
Andhra Pradesh,1966,0.0067235026759540645,0.006986276955979326,0.003972036860502065,0.011767548628730215
Andhra Pradesh,1966,0.0052039910711884465,0.004562466583496703,0.003972036860502065,0.006600986303777169
Andhra Pradesh,1966,0.008243014280719684,0.005310996257351631,0.003972036860502065,0.005177545663228881
Andhra Pradesh,1966,0.014630341822876047,0.005703083229370878,0.003972036860502065,0.010585741430250309
Andhra Pradesh,1967,0.011107226420676115,0.00727143111744787,0.005799173816333015,0.009579667644183772
Andhra Pradesh,1967,0.010636581233359331,0.00941008732846195,0.007189386717508739,0.008628510549496413
Andhra Pradesh,1967,0.04707796573703036,0.035145250400998036,0.01588814744200826,0.04222434566762222
Andhra Pradesh,1967,0.0,0.0,0.0,0.0
Andhra Pradesh,1967,0.059960196864158356,0.05785065050793085,0.011876390212901175,0.06630201983590892
Andhra Pradesh,1967,0.03559422316650082,0.028194617715202278,0.012789958690816651,0.06746625369314749
Andhra Pradesh,1967,0.018153457225075977,0.010158617002316878,0.008976803304734668,0.021617406394499543
Andhra Pradesh,1967,0.012236774870236397,0.01739440384958118,0.007387988560533841,0.03170230759937175
Andhra Pradesh,1967,0.010609687222655513,0.007627873819283549,0.004091197966317127,0.01613452392720243
Andhra Pradesh,1967,0.018018987171556894,0.012725004455533772,0.005441690498887829,0.014396959811965248
Andhra Pradesh,1967,0.018301374283946965,0.017608269470682586,0.005044486812837623,0.016244357309960787
Andhra Pradesh,1968,0.011039991393916574,0.006059525931206558,0.003972036860502065,0.007798170175843245
Andhra Pradesh,1968,0.011577871607992899,0.0077704509000178215,0.003972036860502065,0.007782793502257075
Andhra Pradesh,1968,0.07258693488960008,0.03856710033862056,0.004488401652367334,0.052491570287873296
Andhra Pradesh,1968,0.10429497350939945,0.07492425592585991,0.013902129011757228,0.0874163893373752
Andhra Pradesh,1968,0.08105854826130221,0.0674746034574942,0.0044486812837623135,0.08426417125221039
Andhra Pradesh,1968,0.04859747734179598,0.046230618428087684,0.00484588496981252,0.09060595077267783
Andhra Pradesh,1968,0.01733318989860958,0.01522010336838353,0.003972036860502065,0.019570112139883793
Andhra Pradesh,1968,0.02616787241481322,0.03054713954731777,0.004091197966317127,0.06288180829681372
Andhra Pradesh,1968,0.009211198666057067,0.00673676706469435,0.003972036860502065,0.012624249014245388
Andhra Pradesh,1968,0.04971357878600435,0.02138656211014079,0.003972036860502065,0.03946752776038749
Andhra Pradesh,1968,0.015625420218917246,0.01486366066654785,0.003972036860502065,0.013006469186244466
Andhra Pradesh,1969,0.01409246160879972,0.007734806629834254,0.004011757229107086,0.011431458477489647
Andhra Pradesh,1969,0.012492267971922651,0.010265549812867581,0.004011757229107086,0.010458334706250617
Andhra Pradesh,1969,0.060538418094290405,0.05539119586526465,0.005243088655862727,0.05307368721649258
Andhra Pradesh,1969,0.110803324099723,0.05250400998039565,0.01457737527804258,0.09120564104253846
Andhra Pradesh,1969,0.09228679773014549,0.06316164676528248,0.00782491261518907,0.09509593945983941
Andhra Pradesh,1969,0.060081219912325526,0.04377116378542149,0.0045678423895773755,0.11072303315869825
Andhra Pradesh,1969,0.016445687545383645,0.017964712172518264,0.005878614553543057,0.021806319812843915
Andhra Pradesh,1969,0.01748110695748057,0.02823026198538585,0.00548141086749285,0.04737772798664426
Andhra Pradesh,1969,0.01070381626011887,0.006808055605061486,0.0042103590721321894,0.014748426636791984
Andhra Pradesh,1969,0.017992093160853078,0.02028158973445019,0.005759453447727995,0.017582127911957558
Andhra Pradesh,1969,0.01467068283893177,0.019140973088576013,0.005560851604702891,0.014627609915757794
Andhra Pradesh,1970,0.017454212946776754,0.007877383710568526,0.004965046075627581,0.014689116610102472
Andhra Pradesh,1970,0.01848963235887368,0.015932988772054894,0.0042103590721321894,0.016266323986512458
Andhra Pradesh,1970,0.04454992873087164,0.033576902512921045,0.012551636479186527,0.039131437609146925
Andhra Pradesh,1970,0.06412876852324986,0.050222776688647296,0.022680330473466792,0.05961756016123541
Andhra Pradesh,1970,0.04662076755506549,0.05482088754232757,0.019065776930409915,0.056379672037519084
Andhra Pradesh,1970,0.06355054729311782,0.04729994653359472,0.02430886558627264,0.12429843926763098
Andhra Pradesh,1970,0.04051582712529919,0.02680449117804313,0.01513346043851287,0.049372302217535996
Andhra Pradesh,1970,0.02202619476642552,0.031046159329887718,0.010009532888465206,0.06140564763254143
Andhra Pradesh,1970,0.005620848237097598,0.006879344145428622,0.004607562758182396,0.009201840807495029
Andhra Pradesh,1970,0.01891993653013474,0.02708964533951167,0.007189386717508739,0.01958768548112513
Andhra Pradesh,1970,0.01811311620902025,0.020923186597754412,0.0066333015570384495,0.01874416510154096
Andhra Pradesh,1971,0.015302692090471453,0.009018000356442702,0.003972036860502065,0.012712115720452073
Andhra Pradesh,1971,0.015611973213565339,0.012867581536268043,0.004170638703527169,0.012892242468175776
Andhra Pradesh,1971,0.05013043595191351,0.06939939404740687,0.005997775659358119,0.050819906202291126
Andhra Pradesh,1971,0.07678240055939542,0.0737123507396186,0.011081982840800763,0.06562983953342778
Andhra Pradesh,1971,0.05993330285345454,0.07289253252539653,0.008222116301239275,0.0690346743989368
Andhra Pradesh,1971,0.04848990129898072,0.06551416859739796,0.009413727359389897,0.10173646578140959
Andhra Pradesh,1971,0.024325632681601806,0.02837283906612012,0.008182395932634255,0.03181653431744044
Andhra Pradesh,1971,0.014253825673022616,0.012261628943147388,0.004408960915157293,0.02921567981372258
Andhra Pradesh,1971,0.005997364386951027,0.028693637497772234,0.008420718144264379,0.022928816984634306
Andhra Pradesh,1971,0.02529381706693919,0.02659062555694172,0.007189386717508739,0.02329346381539205
Andhra Pradesh,1971,0.011887152731086786,0.017501336660131882,0.006434699714013345,0.01327006930486452
Andhra Pradesh,1972,0.01688943872199661,0.013188379967920157,0.004369240546552272,0.014787966654584993
Andhra Pradesh,1972,0.012263668880940213,0.01154874353947603,0.004607562758182396,0.009588454314804441
Andhra Pradesh,1972,0.06554070408520023,0.04772767777579754,0.014815697489672704,0.053093457225389086
Andhra Pradesh,1972,0.07686308259150687,0.07378363927998573,0.011081982840800763,0.06562983953342778
Andhra Pradesh,1972,0.05596643627464163,0.08009267510247726,0.020535430568795678,0.07126429206893142
Andhra Pradesh,1972,0.041389882473173226,0.06565674567813225,0.015411503018748014,0.08740320933144419
Andhra Pradesh,1972,0.021676572627275903,0.030404562466583497,0.013306323482681919,0.029301349852274096
Andhra Pradesh,1972,0.0160422773848264,0.013188379967920157,0.012035271687321257,0.03837578393576944
Andhra Pradesh,1972,0.004679557862464029,0.00744965246836571,0.006553860819828408,0.008573593858117234
Andhra Pradesh,1972,0.01877201947126375,0.028479771876670827,0.012233873530346362,0.020330159148571614
Andhra Pradesh,1972,0.022308581878815587,0.022135091783995718,0.006275818239593263,0.02232693004711852
Andhra Pradesh,1973,0.018798913481967567,0.018392443414721085,0.005719733079122974,0.01857721835974826
Andhra Pradesh,1973,0.024379420703009438,0.015932988772054894,0.00548141086749285,0.016310257339615802
Andhra Pradesh,1973,0.05829276820052175,0.05792193904829798,0.013266603114076897,0.05273759706525201
Andhra Pradesh,1973,0.052013016701180644,0.056424879700588126,0.014815697489672704,0.050773776181532615
Andhra Pradesh,1973,0.03420918161525428,0.04694350383175904,0.01767556402923419,0.04494601689237427
Andhra Pradesh,1973,0.031694591614447466,0.018214222063803243,0.0205751509374007,0.06156380770371347
Andhra Pradesh,1973,0.02285990909824382,0.028301550525752985,0.017437241817604067,0.03483695234329522
Andhra Pradesh,1973,0.016593604604254634,0.027018356799144536,0.012988560533841753,0.049442595582501345
Andhra Pradesh,1973,0.00603770540300675,0.008198182142220638,0.0063949793454083255,0.011374345118455302
Andhra Pradesh,1973,0.022322028884167493,0.02680449117804313,0.013266603114076897,0.02310015706173734
Andhra Pradesh,1973,0.019793991878008767,0.023774728212439845,0.013981569748967271,0.02345162388656408
Andhra Pradesh,1974,0.02113869241319958,0.022990554268401353,0.008261836669844296,0.020969389436225245
Andhra Pradesh,1974,0.01761557701099965,0.023311352700053467,0.012233873530346362,0.016630970817270198
Andhra Pradesh,1974,0.029596858779549796,0.018392443414721085,0.012313314267556403,0.025035421265939568
Andhra Pradesh,1974,0.07530322997068553,0.06565674567813225,0.02843978392119479,0.072481245949894
Andhra Pradesh,1974,0.02823871123900707,0.028586704687221527,0.021051795360660944,0.03614836293342999
Andhra Pradesh,1974,0.04905467552376085,0.03172340046337551,0.01946298061646012,0.0953375729019078
Andhra Pradesh,1974,0.023895328510340746,0.026269827125289608,0.018668573244359707,0.03578810943798258
Andhra Pradesh,1974,0.016526369577495092,0.016752806986276958,0.014259612329202415,0.04277131591375883
Andhra Pradesh,1974,0.008780894494796009,0.005916948850472286,0.007149666348903717,0.014469449844585761
Andhra Pradesh,1974,0.01955194578167442,0.01857066476563892,0.01028757546870035,0.017951168078025635
Andhra Pradesh,1974,0.022079982787833147,0.015861700231687755,0.009890371782650143,0.02227860335870484
Andhra Pradesh,1975,0.024702148831455235,0.01186954197112814,0.006236097870988243,0.022118246619877643
Andhra Pradesh,1975,0.024540784767232336,0.00834075922295491,0.005084207181442644,0.01801487144002548
Andhra Pradesh,1975,0.07660758948982062,0.03810372482623418,0.0205751509374007,0.06346172855777785
Andhra Pradesh,1975,0.08225533173762203,0.03981464979504544,0.01831108992691452,0.06713895021252758
Andhra Pradesh,1975,0.05817174515235457,0.03389770094457316,0.011280584683825867,0.05797005941986007
Andhra Pradesh,1975,0.06644165344377806,0.04747816788451256,0.020694312043215764,0.130949948927477
Andhra Pradesh,1975,0.03172148562515128,0.0197112814115131,0.012511916110581505,0.03781124034839149
Andhra Pradesh,1975,0.016862544711292796,0.019925147032614506,0.009572608833809977,0.04076136500928092
Andhra Pradesh,1975,0.008256461286071591,0.006808055605061486,0.006275818239593263,0.01375553285665645
Andhra Pradesh,1975,0.01733318989860958,0.01689538406701123,0.007427708929138862,0.014550726547826945
Andhra Pradesh,1975,0.023518812360487317,0.01543396898948494,0.008937082936129647,0.02325172712994387
Andhra Pradesh,1976,0.024164268617378908,0.015505257529852075,0.005600571973307912,0.02246312344173888
Andhra Pradesh,1976,0.03212489578570853,0.01276064872571734,0.0059183349221480774,0.02217316331125682
