State,Year,Rainfall
Andaman & Nicobar Islands,2013,0.5824700031639665
Andaman & Nicobar Islands,2014,0.39824602678824944
Andaman & Nicobar Islands,2015,0.44403430064171723
Andaman & Nicobar Islands,2016,0.43548347841606966
Andaman & Nicobar Islands,2017,0.44166538215036133
Andhra Pradesh,1901,0.1112986054209292
Andhra Pradesh,1902,0.1254309890234701
Andhra Pradesh,1903,0.17186828164169293
Andhra Pradesh,1904,0.07769565887573723
Andhra Pradesh,1905,0.09432676472258503
Andhra Pradesh,1906,0.12965772372893727
Andhra Pradesh,1907,0.09105733269513153
Andhra Pradesh,1908,0.09114657277528534
Andhra Pradesh,1909,0.11376487672699834
Andhra Pradesh,1910,0.1557482780720897
Andhra Pradesh,1911,0.08714699463748243
Andhra Pradesh,1912,0.10653643023453913
Andhra Pradesh,1913,0.09097620534953715
Andhra Pradesh,1914,0.10997622968774082
Andhra Pradesh,1915,0.15694896278688655
Andhra Pradesh,1916,0.1673089248192888
Andhra Pradesh,1917,0.1530710756674752
Andhra Pradesh,1918,0.08825843927212543
Andhra Pradesh,1919,0.13759197812806762
Andhra Pradesh,1920,0.08618969195946877
Andhra Pradesh,1921,0.11541987457712369
Andhra Pradesh,1922,0.10446768292188244
Andhra Pradesh,1923,0.1059766515499379
Andhra Pradesh,1924,0.12415728969763834
Andhra Pradesh,1925,0.14344125974542235
Andhra Pradesh,1926,0.09876443052659759
Andhra Pradesh,1927,0.11350526922109633
Andhra Pradesh,1928,0.11980075123922018
Andhra Pradesh,1929,0.09895913615602409
Andhra Pradesh,1930,0.1527060026123005
Andhra Pradesh,1931,0.13551511808085148
Andhra Pradesh,1932,0.10314530718869408
Andhra Pradesh,1933,0.11597965326172491
Andhra Pradesh,1934,0.09409149542036133
Andhra Pradesh,1935,0.09714999634926944
Andhra Pradesh,1936,0.1369754103015503
Andhra Pradesh,1937,0.10803728612803515
Andhra Pradesh,1938,0.12531741073963798
Andhra Pradesh,1939,0.124335769857946
Andhra Pradesh,1940,0.13286225387991527
Andhra Pradesh,1941,0.10904326521340546
Andhra Pradesh,1942,0.08768243511840534
Andhra Pradesh,1943,0.13617224958016597
Andhra Pradesh,1944,0.14095065023567493
Andhra Pradesh,1945,0.10219611724523983
Andhra Pradesh,1946,0.12883022480387463
Andhra Pradesh,1947,0.1147627430778092
Andhra Pradesh,1948,0.1052708436432668
Andhra Pradesh,1949,0.1385573935406407
Andhra Pradesh,1950,0.09418884823507459
Andhra Pradesh,1951,0.1053519709888612
Andhra Pradesh,1952,0.10400525705199451
Andhra Pradesh,1953,0.11761842564273137
Andhra Pradesh,1954,0.1300471349877903
Andhra Pradesh,1955,0.15084818639818923
Andhra Pradesh,1956,0.16254674963289872
Andhra Pradesh,1957,0.10168501496799526
Andhra Pradesh,1958,0.16856639867600168
Andhra Pradesh,1959,0.1152495071513755
Andhra Pradesh,1960,0.10965983303992274
Andhra Pradesh,1961,0.11640151545881569
Andhra Pradesh,1962,0.1481304203207775
Andhra Pradesh,1963,0.11334301452990758
Andhra Pradesh,1964,0.12304584506299535
Andhra Pradesh,1965,0.08227935390181967
Andhra Pradesh,1966,0.1235488346056805
Andhra Pradesh,1967,0.10098731979588357
Andhra Pradesh,1968,0.09142240575030625
Andhra Pradesh,1969,0.14490966470068062
Andhra Pradesh,1970,0.12207231691586279
Andhra Pradesh,1971,0.10695829243162991
Andhra Pradesh,1972,0.12319998701962467
Andhra Pradesh,1973,0.09838313200230397
Andhra Pradesh,1974,0.10850782473248255
Andhra Pradesh,1975,0.1539878146726917
Andhra Pradesh,1976,0.1274835108670079
Andhra Pradesh,1977,0.13495533939625026
Andhra Pradesh,1978,0.1275078490706862
Andhra Pradesh,1979,0.11451936104102609
Andhra Pradesh,1980,0.10162011309151975
Andhra Pradesh,1981,0.11184215863641156
Andhra Pradesh,1982,0.09315041821146652
Andhra Pradesh,1983,0.14628071684122565
Andhra Pradesh,1984,0.09591686069623487
Andhra Pradesh,1985,0.10688527782059498
Andhra Pradesh,1986,0.10179048051726791
Andhra Pradesh,1987,0.12278623755709336
Andhra Pradesh,1988,0.135580019957327
Andhra Pradesh,1989,0.11258853021587983
Andhra Pradesh,1990,0.1789588116466417
Andhra Pradesh,1991,0.1422730259688633
Andhra Pradesh,1992,0.10230969552907196
Andhra Pradesh,1993,0.1152738453550538
Andhra Pradesh,1994,0.12247795364383471
Andhra Pradesh,1995,0.15336313411161498
Andhra Pradesh,1996,0.17464283686102075
Andhra Pradesh,1997,0.11935455083845109
Andhra Pradesh,1998,0.15600788557799175
Andhra Pradesh,1999,0.08326910751807112
Andhra Pradesh,2000,0.12393824586453353
Andhra Pradesh,2001,0.12963338552525897
Andhra Pradesh,2002,0.07970761704647786
Andhra Pradesh,2003,0.12058768649148566
Andhra Pradesh,2004,0.10379432595344912
Andhra Pradesh,2005,0.15836869133478818
Andhra Pradesh,2006,0.1185919537898639
Andhra Pradesh,2007,0.1414779779820384
Andhra Pradesh,2008,0.12733748164493802
Andhra Pradesh,2009,0.09271233054525688
Andhra Pradesh,2010,0.189837988690848
Andhra Pradesh,2011,0.10254496483129566
Andhra Pradesh,2012,0.1377136691464592
Andhra Pradesh,2013,0.12552022910362393
Andhra Pradesh,2014,0.08849370857434913
Andhra Pradesh,2015,0.1397094018480809
Andhra Pradesh,2016,0.09154409676869782
Andhra Pradesh,2017,0.11287247592546018
Arunachal Pradesh,1916,0.5281780780363101
Arunachal Pradesh,1917,0.5281780780363101
Arunachal Pradesh,1918,0.8629272368837364
Arunachal Pradesh,1919,0.7343566195857637
Arunachal Pradesh,1920,0.6390806649197244
Arunachal Pradesh,1921,0.8962056740465507
Arunachal Pradesh,1922,0.6521421675604195
Arunachal Pradesh,1923,0.5418576539594201
Arunachal Pradesh,1924,0.6948638277504198
Arunachal Pradesh,1925,0.6931277025547001
Arunachal Pradesh,1926,0.5441454451051816
Arunachal Pradesh,1927,0.8251056683676365
Arunachal Pradesh,1928,0.8282696348458174
Arunachal Pradesh,1929,0.6737220414885244
Arunachal Pradesh,1930,0.6759773816960483
Arunachal Pradesh,1931,0.7632704055556007
Arunachal Pradesh,1932,0.7598306061023988
Arunachal Pradesh,1933,0.5849849508773922
Arunachal Pradesh,1934,0.7151781150872524
Arunachal Pradesh,1935,0.6499517292293713
Arunachal Pradesh,1936,0.7497708152486958
Arunachal Pradesh,1937,0.5203751328460283
Arunachal Pradesh,1938,0.9672083269107518
Arunachal Pradesh,1939,0.6053316891524626
Arunachal Pradesh,1940,0.6378799802049276
Arunachal Pradesh,1941,0.6574965723696485
Arunachal Pradesh,1942,0.593892733423655
Arunachal Pradesh,1943,0.6747766969812514
