State,Year,Pesticides
India,1990,1.0
India,1990,0.7726
India,1990,0.3294933333333333
India,1990,0.27929333333333334
India,1990,0.05890666666666667
India,1990,0.013013333333333333
India,1990,0.09189333333333333
India,1990,0.07761333333333334
India,1990,0.010546666666666666
India,1990,0.0036666666666666666
India,1990,0.024053333333333333
India,1990,0.03934666666666667
India,1990,0.14536
India,1990,0.08389333333333333
India,1990,0.04332
India,1990,0.018146666666666665
India,1990,0.0003733333333333333
India,1990,0.004053333333333333
India,1990,0.00014666666666666666
India,1990,0.003906666666666667
India,1990,0.0
India,1991,0.9617733333333334
India,1991,0.7256
India,1991,0.28284
India,1991,0.32162666666666667
India,1991,0.036493333333333336
India,1991,0.01408
India,1991,0.07056
India,1991,0.08004
India,1991,0.009146666666666666
India,1991,0.0038
India,1991,0.02508
India,1991,0.04201333333333333
India,1991,0.14770666666666665
India,1991,0.07681333333333333
India,1991,0.04994666666666667
India,1991,0.020946666666666666
India,1991,0.00052
India,1991,0.007906666666666666
India,1991,0.0002
India,1991,0.007706666666666666
India,1991,0.0
India,1992,0.94388
India,1992,0.6887866666666667
India,1992,0.24646666666666667
India,1992,0.32741333333333333
India,1992,0.03541333333333333
India,1992,0.015013333333333333
India,1992,0.06448
India,1992,0.09916
India,1992,0.01
India,1992,0.003693333333333333
India,1992,0.030533333333333332
India,1992,0.054933333333333334
India,1992,0.14624
India,1992,0.0736
India,1992,0.05074666666666667
India,1992,0.021893333333333334
India,1992,0.0005733333333333334
India,1992,0.00912
India,1992,0.00013333333333333334
India,1992,0.008986666666666667
India,1992,0.0
India,1993,0.8809866666666667
India,1993,0.62436
India,1993,0.21808
India,1993,0.32
India,1993,0.03304
India,1993,0.017186666666666666
India,1993,0.001
India,1993,0.03777333333333333
India,1993,0.09498666666666666
India,1993,0.008386666666666667
India,1993,0.0041333333333333335
India,1993,0.01484
India,1993,0.03076
India,1993,0.029786666666666666
India,1993,0.14097333333333334
India,1993,0.07574666666666667
India,1993,0.049933333333333337
India,1993,2.6666666666666667e-05
India,1993,0.0005333333333333334
India,1993,0.013293333333333334
India,1993,0.0006266666666666666
India,1993,0.006626666666666667
India,1993,0.0002666666666666667
India,1993,0.0058133333333333335
India,1993,0.01344
India,1994,0.8180933333333333
India,1994,0.55992
India,1994,0.17936
India,1994,0.31552
India,1994,0.037
India,1994,0.017933333333333332
India,1994,0.00164
India,1994,0.008466666666666667
India,1994,0.0908
India,1994,0.00816
India,1994,0.006293333333333333
India,1994,0.025586666666666667
India,1994,0.0012666666666666666
India,1994,0.03424
India,1994,0.0006133333333333334
India,1994,0.01464
India,1994,0.13569333333333333
India,1994,0.07845333333333333
India,1994,0.05076
India,1994,0.0005466666666666667
India,1994,3.9999999999999996e-05
India,1994,0.00056
India,1994,0.005333333333333333
India,1994,0.00068
India,1994,0.0041333333333333335
India,1994,0.00034666666666666667
India,1994,0.0037866666666666665
India,1994,0.026866666666666667
India,1995,0.81676
India,1995,0.5339333333333334
India,1995,0.16362666666666667
India,1995,0.3154133333333333
India,1995,0.023253333333333334
India,1995,0.021706666666666666
India,1995,0.0023333333333333335
India,1995,0.0076
India,1995,0.0816
India,1995,0.006226666666666667
India,1995,0.00276
India,1995,0.03028
India,1995,0.0012533333333333333
India,1995,0.0332
India,1995,0.0003333333333333333
India,1995,0.007546666666666667
India,1995,0.12846666666666667
India,1995,0.07413333333333333
India,1995,0.048266666666666666
India,1995,0.0005866666666666667
India,1995,1.3333333333333333e-05
India,1995,0.0004933333333333334
India,1995,0.004973333333333333
India,1995,0.0007733333333333333
India,1995,0.0031466666666666665
India,1995,0.0004
India,1995,0.002746666666666667
India,1995,0.06884
India,1996,0.7481866666666667
India,1996,0.47314666666666666
India,1996,0.10654666666666666
India,1996,0.3106933333333333
India,1996,0.025026666666666666
India,1996,0.018813333333333335
India,1996,0.00292
India,1996,0.009146666666666666
India,1996,0.09677333333333334
India,1996,0.00828
India,1996,0.004706666666666666
India,1996,0.034613333333333336
India,1996,0.00152
India,1996,0.03542666666666667
India,1996,0.00046666666666666666
India,1996,0.01176
India,1996,0.12302666666666667
India,1996,0.06690666666666667
India,1996,0.04838666666666667
India,1996,0.0006
India,1996,6.666666666666667e-05
India,1996,0.00172
India,1996,0.005346666666666666
India,1996,0.0007333333333333333
India,1996,0.0034533333333333334
India,1996,0.0004
India,1996,0.0030533333333333332
India,1996,0.05105333333333333
India,1997,0.6970533333333333
India,1997,0.4455866666666667
India,1997,0.060053333333333334
India,1997,0.33266666666666667
India,1997,0.023933333333333334
India,1997,0.02164
India,1997,0.005266666666666667
India,1997,0.0020266666666666666
India,1997,0.09322666666666667
India,1997,0.00812
India,1997,0.004666666666666667
India,1997,0.03525333333333333
India,1997,0.0014933333333333333
India,1997,0.035653333333333335
India,1997,0.0005466666666666667
India,1997,0.007493333333333334
India,1997,0.12044
India,1997,0.061946666666666664
India,1997,0.041973333333333335
India,1997,0.0072
India,1997,0.00018666666666666666
India,1997,0.002213333333333333
India,1997,0.00692
India,1997,0.0008666666666666666
India,1997,0.009266666666666666
India,1997,0.00031999999999999997
India,1997,0.008946666666666667
India,1997,0.027666666666666666
India,1998,0.6554266666666667
India,1998,0.4047866666666667
India,1998,0.05312
India,1998,0.2974
India,1998,0.022346666666666667
India,1998,0.023413333333333335
India,1998,0.0064266666666666665
India,1998,0.00208
India,1998,0.09974666666666666
India,1998,0.008786666666666667
India,1998,0.006026666666666666
India,1998,0.035293333333333336
India,1998,0.0021866666666666666
India,1998,0.035493333333333335
India,1998,0.0008266666666666666
